Name,Redshift,Classification,Requested
2MASS J00230774-2808594,0.061700,E,E
2MASS J00263502+1709383,0.398153,E,E
2MASS J00420068-0937397,0.076976,S0,S0
2MASS J00420068-0937397,0.076976,S0,E
2MASS J01030091-2140416,,E,E
2MASS J01074829-2015102,0.054835,S0,S0
2MASS J01152549+0004180,0.042387,S0,S0
2MASS J01224919+0002405,0.043471,S0:,S0
2MASS J01490839+1357476,0.070553,BrClG,E
2MASS J02015834-3106438,0.035775,E,E
2MASS J03371064-5525053,0.076486,S0,S0
2MASS J03384820-3533185,0.215048,E/S0,S0
2MASS J03384820-3533185,0.215048,E/S0,E
2MASS J03401993-3538266,0.323290,E,E
2MASS J04131414-3754108,0.053237,S0,S0
2MASS J04302096-3638352,0.041569,(R')SA0^0^?;E/D,A
2MASS J04302096-3638352,0.041569,(R')SA0^0^?;E/D,S0
2MASS J10120083+0321111,0.045381,E0,E
2MASS J10402414-0851318,0.067000,S0,S0
2MASS J11563798+1123501,0.067000,S0^-,S0
2MASS J14551359+0336431,0.021818,S0,S0
2MASS J15062423+3225509,0.043347,S0,S0
2MASS J16092320+3522404,0.069115,E0,E
2MASS J16485589+3954372,0.069880,candidate      BLLAC,E
2MASS J17033060+3625123,0.024649,E0,E
2MASS J20543085-3225119,0.063741,S0,S0
2MASS J21061113-3350406,0.041108,E,E
2MASS J21150111-4013311,0.030658,E,E
2MASS J21272841-2318293,0.031388,S0,S0
2MASS J22221619-6918232,0.050121,E/S0           ELG,E
2MASS J22221619-6918232,0.050121,E/S0           ELG,S0
2MASS J22331824+0028317,0.055196,S0/a,S0/a
2MASS J22331824+0028317,0.055196,S0/a,S0
2MASS J22474255-3547414,0.028973,S0,S0
2MASS J23164775+1534598,0.039000,S0/a,S0
2MASS J23164775+1534598,0.039000,S0/a,S0/a
2MASS J23573806-2943460,0.028330,E,E
2MASX J00160121+1601331,0.027893,S0^-,S0
2MASX J00162902-0036265,0.068192,S0,S0
2MASX J00202768+0000160,0.046050,S0/a,S0
2MASX J00202768+0000160,0.046050,S0/a,S0/a
2MASX J00243207-4007300,0.069575,D/cD,E
2MASX J00260179-0931577,0.053729,E0,E
2MASX J00264283-4848061,0.071000,S0,S0
2MASX J00372753-3907467,0.063427,E,E
2MASX J00403677-3652360,0.034564,E,E
2MASX J00431088-0940543,0.054956,E,S0/a
2MASX J00431088-0940543,0.054956,E,E
2MASX J00431088-0940543,0.054956,E,S0
2MASX J00450258-0948288,0.019401,S0,S0
2MASX J00524743-1012003,0.021870,S0/a,S0
2MASX J00524743-1012003,0.021870,S0/a,S0/a
2MASX J00550553-0114013,0.044364,Sb(f),S0
2MASX J00560405-0955209,0.056790,S0,S0
2MASX J00561436-0108397,0.044955,S0,S0
2MASX J00562351-0059129,0.044030,E/S0,E
2MASX J00563045-0132029,0.048167,S02,S0
2MASX J00563838-0107339,0.045283,S0,S0
2MASX J00565706-0123196,0.043497,S0,S0
2MASX J00591457-2848305,0.035700,Sb,E
2MASX J01010118-1018085,0.036003,S0/a,S0
2MASX J01010118-1018085,0.036003,S0/a,S0/a
2MASX J01043012+1430140,0.040923,E0,E
2MASX J01072322+0040191,0.066144,S0^-,S0
2MASX J01083363-1537167,0.099365,S0,E
2MASX J01084837-1528218,0.055251,S0,S0
2MASX J01085960+1520210,0.041675,E0,E
2MASX J01090684-1518541,0.054224,S0,S0
2MASX J01125386+1536091,0.040982,S0,S0
2MASX J01135716+0022171,0.045389,S0,S0
2MASX J01143435-0029039,0.076948,NLAGN,S0/a
2MASX J01143435-0029039,0.076948,NLAGN,S0
2MASX J01150233+0015470,0.047806,Se,S0
2MASX J01150233+0018270,0.046183,Se,S0
2MASX J01150840+0018130,0.046426,Se,S0
2MASX J01150880+0017490,0.045797,Se,S0
2MASX J01154483+0014005,0.044483,Se,S0
2MASX J01160496-4820537,0.024394,S0,S0
2MASX J01174375-0049529,0.053342,NLAGN,S0
2MASX J01191700-0006490,0.017319,S0,S0
2MASX J01222913-3243020,0.067727,S0,E
2MASX J01230748-3240586,0.030631,E4,E
2MASX J01234584-2250528,0.032209,S0,S0
2MASX J01362802-0851299,0.041291,S0,S0
2MASX J01411632-0835395,0.050975,AGN,S0
2MASX J01411632-0835395,0.050975,AGN,S0/a
2MASX J01412195+0022162,0.030359,S0/a,S0
2MASX J01412195+0022162,0.030359,S0/a,S0/a
2MASX J01432553-3621401,0.027210,E,E
2MASX J01475573+1413367,0.069593,S0,S0
2MASX J01490255+1255394,0.017374,S0,S0
2MASX J01492845+1342317,0.056777,S0,S0
2MASX J01510245-3607374,0.019130,S0,S0
2MASX J01533748+1402217,0.062347,E0,E
2MASX J01542920+1411436,0.050659,,S0/a
2MASX J01542920+1411436,0.050659,,S0
